State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9396011626840756	0.05330694866408378	0.004928987222422749	6.99988037877085E-4	8.363166901911989E-4	6.937182084569019E-6	1.4158457647053466E-4	1.8423716978731055E-5	0.0	4.596512258157072E-4
2	0.0389109988281827	0.9256037192259414	0.020456981103979855	0.0010803472021767406	0.0037339239607861855	1.7398519103212613E-4	0.002216831637697744	0.004714099253879363	0.0	0.0031091135963237475
3	0.007443238174666582	0.04053761355083593	0.9338327631142884	0.018080165620293073	0.0	0.0	0.0	0.0	0.0	1.0621953991601819E-4
4	0.0038958585216498833	0.0070173007221978195	0.058989165340321364	0.8806623973514334	0.013420116254478757	0.03599987647677527	0.0	0.0	0.0	1.528533314344862E-5
5	0.002173885816560103	0.013719771296839189	0.0	0.007545473518939709	0.8147224063930196	0.04177444041154385	0.09140202365894513	0.014734078734950716	0.010324312705045595	0.003603607464156022
6	3.2909995803855716E-6	0.0013092630407956333	0.0	0.04206017343443109	0.08152766212037822	0.8580451060036073	0.006728949705327595	0.0021515844542885957	0.0035566301499987485	0.0046173400915923285
7	0.0	0.0013778651954664662	0.0	0.0	0.014715141560445762	5.620065151263331E-4	0.9760916985218997	0.002050821295024982	0.0011886910525845873	0.004013775859452206
8	9.362165190720278E-7	5.121738613959755E-4	0.0	0.0	4.537461453913513E-4	3.824300878354285E-5	3.788803470428463E-4	0.9923529290987753	0.004364601078170698	0.0018984902439213094
9	0.0	0.0	0.0	0.0	0.0012355961001366083	2.0934356733488354E-4	9.641529142848384E-4	0.016845189076848708	0.9754988984727662	0.005246819868628634
10	0.002741366950601527	0.02800426850849591	4.048502592312573E-4	1.3158839671734783E-4	0.00925697147546224	0.005657713575836462	0.06501872867048708	0.15011084722362253	0.10743740387947144	0.6312362610600742
